credit_score,age,anciennete_ans,solde,nb_produits,carte_credit,membre_actif,salaire_annuel,pays,sexe,churn
422,58,4,133643.49955184327,2,0,0,44879.222086914175,France,H,1
417,60,13,44389.26069589665,4,1,1,49507.86969584149,France,H,0
529,26,18,100358.0960225948,1,0,1,69841.22208823188,Espagne,H,0
620,49,17,91821.90088473927,4,0,1,39428.3025174689,France,H,0
338,23,13,101110.2296519347,3,1,1,24993.65488248554,France,F,0
772,32,7,87320.31318547904,3,1,0,67805.74257908345,Allemagne,F,1
437,23,11,83157.04266561811,2,1,1,36763.928301009364,France,H,0
611,24,12,112784.93606886955,2,0,0,69023.87520447411,France,H,1
814,32,4,118885.88141060718,2,0,1,35844.943020688195,France,F,0
548,52,4,83308.07641442693,2,1,0,67972.78046404461,France,F,0
584,46,9,34996.764714752644,3,1,1,61431.029654478785,France,F,0
552,23,9,1032.2477066620922,3,0,1,94730.65484065749,France,H,0
438,63,12,33233.93386476233,2,0,1,42979.2815347832,France,F,1
584,51,13,36901.64518179062,2,1,1,64948.80938440801,Espagne,F,0
629,53,12,77316.99835402556,2,0,0,27335.634302934548,Espagne,F,1
619,35,15,57676.787876668204,4,0,0,50773.4498643368,France,F,1
359,54,19,68025.59676979174,2,1,0,35618.38113522756,Allemagne,F,1
742,71,13,69868.3186757236,2,1,1,39208.14258530181,France,H,0
512,56,17,29019.28585027564,3,1,0,49443.894913100376,Espagne,F,0
732,55,4,57138.780008793576,1,0,1,71476.6410296812,Allemagne,F,0
722,52,5,35643.327929949155,2,1,0,51008.07362378652,France,H,1
508,32,16,43032.28888609356,2,0,1,55035.00167732921,Espagne,H,0
584,65,0,79813.46431798124,3,0,0,63664.8217834171,France,H,1
657,44,17,53175.04262272098,4,1,0,30513.289993137314,Espagne,F,0
793,29,11,34839.34351473709,3,1,0,63716.29104918687,France,F,1
638,28,7,62352.83569375069,4,0,0,86018.37599642435,France,F,1
790,42,7,82249.05822504518,1,0,0,30398.55134468915,Espagne,H,1
729,38,5,71880.12634346647,4,0,0,13508.752371375907,Espagne,H,0
721,71,7,74498.8713834714,3,1,1,43160.3120493737,Allemagne,H,0
367,27,5,68057.98475281542,4,0,0,60720.14383802568,France,H,1
499,40,1,12827.842747306036,2,1,0,42731.71878903429,Espagne,F,1
345,72,19,40437.2430239957,1,0,0,64466.1083952705,France,F,1
846,37,19,34314.591515062435,4,1,1,31347.36878440163,Espagne,F,0
504,40,17,99129.97520986124,4,1,1,44814.12846903021,Espagne,H,0
824,33,7,96930.40649026033,1,0,0,31112.58681424707,France,H,1
648,62,7,7617.522665856246,3,0,0,78197.2020316451,Allemagne,H,1
692,19,4,27916.218782986096,4,1,1,66444.88238387955,France,H,0
804,24,11,22403.29087807847,1,1,0,88298.97579124407,Espagne,F,1
356,51,2,65477.151563688836,2,1,1,28324.821098792436,Espagne,H,0
471,39,2,113213.54795975194,2,1,1,92041.21024527101,Espagne,H,0
691,43,17,63511.785026075224,1,1,0,20061.069761484017,Espagne,F,1
649,55,11,63485.16528094162,4,1,0,86408.48426049954,Allemagne,H,1
708,63,4,74856.83464650248,4,0,0,45906.312822932625,Allemagne,H,1
513,63,7,45203.39631460933,4,1,1,74505.74808566022,France,H,0
466,32,9,16823.746118803465,1,1,0,28109.1182345527,Allemagne,H,1
772,22,10,44836.38600193857,3,1,0,53050.74734406866,France,F,0
537,18,18,39388.04846335298,4,0,0,45320.921979948675,France,H,0
756,61,5,37338.46167378717,4,0,1,39326.634040994475,France,F,0
548,50,10,132210.63191913476,4,0,0,30240.954735704647,France,H,0
371,72,8,109739.18349485999,3,1,0,49227.19102587181,Espagne,F,1
605,43,12,15516.397679973292,2,0,0,17591.507542626503,Espagne,F,0
623,41,13,77733.93276487374,2,1,0,37337.6931187349,Allemagne,F,0
830,62,1,55837.362740805765,1,0,1,73208.99545024394,France,H,1
837,49,13,20891.15123084902,3,1,0,68051.9497760491,France,H,1
824,34,18,73777.10661712401,3,0,0,52981.04473776042,Espagne,F,1
724,34,10,10557.739280263355,1,1,1,65512.60842368695,Espagne,H,0
358,68,12,124094.29675604767,3,0,1,67642.98013372645,France,H,1
572,70,12,32162.090443966543,1,1,1,104612.80643729481,France,H,1
486,56,3,47060.912945021824,4,1,0,91243.83560566945,Espagne,F,1
822,26,15,21054.99403188254,4,0,1,3829.2854752635103,France,F,0
783,26,8,61632.50355412983,3,0,0,39929.914453276186,France,H,0
586,62,8,51121.86374518063,3,1,0,74232.7481051494,Espagne,F,1
521,33,11,22598.043935958172,3,0,0,18152.465016703798,Allemagne,H,0
728,38,13,30405.982621936284,3,1,1,76100.35521506361,France,F,0
530,47,13,57473.44388157465,3,1,0,106972.99606148608,France,F,1
559,63,11,76371.5826634209,4,0,1,92747.50076603552,Allemagne,F,0
545,29,9,119516.83766111147,4,1,0,50124.56355247149,Espagne,F,0
358,60,18,48705.94164940133,4,1,1,62449.828968336435,France,H,0
406,43,18,21749.170883049963,4,0,1,16229.5754044352,Espagne,F,0
381,54,0,71398.78225702523,2,1,0,55837.96663882679,Espagne,H,1
496,28,18,100836.50041777288,1,1,0,49571.01818634339,France,F,1
352,26,12,55203.353664810944,3,1,1,50542.008845849974,Espagne,H,0
508,73,16,78224.85975734796,3,1,0,26404.174206990672,France,H,1
315,63,1,112923.97721846853,2,1,0,67742.30513944985,France,F,1
445,46,14,137753.17832008062,1,0,0,14573.87485256957,France,F,1
836,41,12,83129.75770814475,1,0,1,48958.30478718992,France,F,0
438,68,13,89948.5688898039,1,1,0,55852.888275390884,France,F,1
847,22,16,19670.484032887325,3,1,1,27480.91238712544,Espagne,H,0
484,42,10,67157.95943149498,1,1,0,83807.9756741452,Espagne,H,1
612,33,8,57387.9517170788,3,0,0,16055.631243938653,Allemagne,F,0
464,30,8,73653.9227158795,3,1,0,43730.20367853348,France,F,1
429,42,0,22408.344366593505,1,1,0,35603.2973419728,France,F,1
511,60,11,65894.58735781084,1,1,1,94394.14918103415,Allemagne,H,0
308,37,4,78249.54285424441,4,1,1,69027.44076765169,Allemagne,H,0
417,47,8,30727.93831070264,3,1,0,58835.278666426886,France,H,1
